,235
CKFLJCGJ-K,133
CKFLJCGJK,0
KH-JCG-K,7
KH-CG,1
KH-G,151
KH-JCG-K,7
KH-CG,1
KH-G,151
KH,239
KH-JCG-K,7
KH-CG,1
KH-G,151
KH,239
KH,241
JE-DF-G-JK,41
JEDFGJK,14
DFGJK,8
DFGJK,10
DF-JK,11
DFJK,201
D-AKK-GJK,3
DAK-GJK,30
DAKGJK,8
DAKG-K,74
DAK-K,216
DA,113
DA,182
KGCJGK-D,48
KGCJ-K,1
KGC-K,145
KGCK,199
KGCK,79
KG-K,177
KGK,205
KGK,214
