1,HGEHFCGIGHIHIGDFCHGCEGCIGCAGHFDGBHIGCIGHFGFGHGFGFGCIFHFAIEBHFGIDGAHIGIGDGCIBFHGEDGFDGDHDHGFHICGDBDGBCFHGBICDBGDFEHFAIEFAIGCEGFIFGBGDIHGHBGHGIBAIGBEFGDHGHCFGBDGFGEFHGIGBIGFIEHIGIGBGEAHIBGFGFGIFGEIADGCIFGIFCDHGBFGIHG
2,GHEIBGEGBGHFAGIDAFGIHDFEFHIGIGEFGAHCGFGIHDGIFCFEFGDHFGFGHGHICICGIDGDFCFHGAFCDGFGIGFCHBGHDFDHIFGFCHEFGIFCFDEFHDFEHGHGDGBCIGCDICIGIGDEDGHDFGFGFEAGFBGEGBCHBABGICIHFEHGFBGEFEGHIAFCHGFAGHDIGCGFIFBDCGDAFCDIFEBACBFEDGA
3,FGFHFIEGDHIEIGIGAIEIGDHIGCDCGFDIDIDEHFHDHFHEHGCFDEBHICFGDHGHDGEIFEGDGFCIHGDGFIEGFGICIBGFIFGEDHEHEGADGHGEICDBEIFAGCGIGAGHIGIGFBHGHFHGFHCAECFCGHGFGFGEHCGDEHACHFGFEFGEDGHEGAGCFHIDABGFGIEDIGBIBIHGACIGEDFDFDFGDGAHIHIHBCBGEHIGDGFGFDBGDAGIAGHEGBFGFCFIDABGHIHDFDGICBGH
4,GHIBFCIGAHFIFHIGIHGEFICIDGEDHGIHGIDFGCEIEFGFDEHDIHFEGIGDFGHEDGEGHGDCGHFHGBGIEGFHGHIGDGIDHAEGIHIDGIGCFGDHFEFGDFGFGHGCEIBFAGFCDGIBDFDCHGCAGFGDIHIFGFDCGBGEIGCFIAGHEDFGCEFIHIGCGAIGIDIDIDIFIBIGIFEDAIFHFGIBGIGACGEAGEHIDGFEIFIHIGHFEIHCGDHCG
