
H,G,E,F,G,I,H,I,F,C,H,G,G,C,H,F,D,I,G,C,F,G,F,G,G,I,G,D,G,F,I,F,B,D
H,G,E,F,G,I,H,I,H,G,C,G,C,G,F,G,G,G,F,F
F,G,H,F,E,I,I,G,F,I,D,I,H,F,F,G,F,I,G,F,G,F,G,E
G,H,F,G,F,F,G,F,G,F,G
G,H,F,G,F,G,F,F,G
G,H,C,I,G,H,I,H,I,G,F,C,E,G,G,G,D,G,I,D,F,D,H,G,D,F,G,F,I
G,H,C,I,G,H,I,H,I,G,F,C,G,G
G,H,C,G,H,I,I,G,C
G,H,C,G,H,I,I,G
