1,NLBKLDNOKNAOBNJLGNINODNOHMCKNOMJMLBONMFLOBJNOKBODHLKLOMNKNIFDIHDHLOMNMNMFIMNOCONLBMJEOFKOIJELEFKEKJCMNKOKHOHEJOHLKCIMOLHDOMJNDLNHFLFNDJOFLALNMLKNOALODLNINMBNKBANIONOBDLMNKGKOFKININIKNGMOLMIHKNMHLDGLNMNAEOLOCOGOMJMBMOMLKNIBODJECOKCMKLIJNMDLNLONDFOLNMCHDGKIOBONKICFJLOFDIOCNBMBLAFKNJMOJELOILODAMGOFDMAOKJOLBOLNKLGBAEL
2,NDOMHKCNJDLMONFOMILNFKLNJOLMNCNHOMCINJNCJANLOFNAGNAKOBOLNONMIELNINIDNJGKNKLNMKMJENOGNDKOLDAHBLKMDFONEIFLDONEMGNKBKANMGMLFJOMFLDNOEKLNJMGIBGFDMKBDBKNLNOENBONGBGEMLNAHLDAICNGDKNBMKNKLMLBMLNBOAOENIOHBHLNFOINDLBINIBKEDFNONDLNMOMNOBLNGNODOMONEBODMNEMEKOAJONFJIBLMNOLNKMNOKOLNOHKABGOEAEOCAMNKBFONOBJBJKNDMOMOMG
3,NBNOBNLAONMDFKAOGKNMKMLNMNLGNMKNAOCNBLNFKMEJOLMIKMCNMENFMLEJNMOILKLALNLDNONCOMOKOEDINFKCKLOMAMCLOLNENLMOMCLNBNONLIJNFEJLKFNLHOMLOJOIOMHDMDOJBCLCLHGOKLKDLMLMDIBOBOCKCDEMNKOIFONIFOMJLKOMLGIKNONIKOJIKHFKLONBNLBODMODBKNAOBNKHDELFOLKIOLNMBONOKOEMOHNLIOILACLNHONFMNEKJMADNELELAGJDMONDNKDOKOGBOMNCMNKJFNMBFMDBOHFLINA
4,NMKLDJONOGFOLIOGLKNINFLGEHNLOGLONGICOKHFNGFKHLBKLFLGLHDMOHLKBLCMNOLODNKOMOHGKNMGKINLMJNHCLENKNLKFLNLKIKOLMCFINEBNJOLNLHNOLJHOLONHAINKGNDLNOHIAKOKBKLGAJNBNLNILMAMINGNIMBLKOGMOHOMFLOLCOCOADCMOLNKNKMLJNLACLADKILMNMNKMFNKGNOIONLOAFONBLDOFDFAIFBMCNOLKMKBIMBLDOEKONOJACFKMOKDGMOMFNOAIKLNOIMIOBCMJNMOLODMKMNOKIFBNANMOAMDFNBNDOMONONLEFKFBNOINKMNCBIMOI
