BGAFDBGAGDBGFEFAFBGFAGAGGABGBGFBFG,GDGHBGABGFDBGBGCFGBAGCAFGAHCFGABGBAGDCBHGFEAGDEGEGFDGHDFAGCAEFDAHBGBCAFAGBFGBCGABFEFADBHGBFCHBCFBAFBHAHGBCGBFGAFGDABCGAGFGEAFGAGFHFEAFBGFBGABAGFDABGFBFGFECAEHAGAGFHCFGBHAE
BGA-DBG-G-GFE-A-AG-G-FBFG,4
BGADBGGGFEAAGGFBFG,BGAHFGFDFBAHBABADGDBGFEBFBFBAGBGFBEBDGBFAGDGHGCBGFEBFGFABEFCHABEGDBGEHAGDFHBGFCAFAFEBFEHFBAFAGFBGFEGFBAGAEGHEAGBGABGABDFBGBFBABDFGFDGBFGBGHBGBFACFEAFBEFBFBGFHFGHDFAGBFAGEGBHGEBFBFGDGBGHA
BGA-G-E-B-G,0
BGBGBGCABGBAGDBHFGFEABHGBFCBAFHAGGFBAB,GDGHBGABGFDBGBGCFGBAGCAFGAHCFGABGBAGDCBHGFEAGDEGEGFDGHDFAGCAEFDAHBGBCAFAGBFGBCGABFEFADBHGBFCHBCFBAFBHAHGBCGBFGAFGDABCGAGFGEAFGAGFHFEAFBGFBGABAGFDABGFBFGFECAEHAGAGFHCFGBHAE
BGBGBGC-BAG-H-GFEA-AG-BA,4
BGBGBGCBAGHGFEAAGBA,BGAHFGFDFBAHBABADGDBGFEBFBFBAGBGFBEBDGBFAGDGHGCBGFEBFGFABEFCHABEGDBGEHAGDFHBGFCAFAFEBFEHFBAFAGFBGFEGFBAGAEGHEAGBGABGABDFBGBFBABDFGFDGBFGBGHBGBFACFEAFBEFBFBGFHFGHDFAGBFAGEGBHGEBFBFGDGBGHA
BGBGBG-BA-A,120
BGBGBGBAA,BFCBGBGBGEAHBFBHGFGCHAHGABCAGBGBAHGEDFBDHBFGCHGFHEFBCDGBFBADEGHFHGFHGBGBEDAHGBDABFHAHAGFGFGCHGFHAEAGFGEDEHCGDAFAFGFAFGFHBHGCHDHFBABFBHBFCGBFGECABHFGBGFEFHECBCBEAFHEAFGHGFGHFABFHGAHBHDCDAC
BGBGBG-A,3
BGAFFBABAFBAGFHGFCBCEABHB,GDGHBGABGFDBGBGCFGBAGCAFGAHCFGABGBAGDCBHGFEAGDEGEGFDGHDFAGCAEFDAHBGBCAFAGBFGBCGABFEFADBHGBFCHBCFBAFBHAHGBCGBFGAFGDABCGAGFGEAFGAGFHFEAFBGFBGABAGFDABGFBFGFECAEHAGAGFHCFGBHAE
BGA-F-ABAF-AGF-FC,4
BGAFABAFAGFFC,BGAHFGFDFBAHBABADGDBGFEBFBFBAGBGFBEBDGBFAGDGHGCBGFEBFGFABEFCHABEGDBGEHAGDFHBGFCAFAFEBFEHFBAFAGFBGFEGFBAGAEGHEAGBGABGABDFBGBFBABDFGFDGBFGBGHBGBFACFEAFBEFBFBGFHFGHDFAGBFAGEGBHGEBFBFGDGBGHA
BGAF-B-FAGF,0
BGAFBFAGF,BFCBGBGBGEAHBFBHGFGCHAHGABCAGBGBAHGEDFBDHBFGCHGFHEFBCDGBFBADEGHFHGFHGBGBEDAHGBDABFHAHAGFGFGCHGFHAEAGFGEDEHCGDAFAFGFAFGFHBHGCHDHFBABFBHBFCGBFGECABHFGBGFEFHECBCBEAFHEAFGHGFGHFABFHGAHBHDCDAC
BGA-BF-GF,7
BGABFGF,BHBFABGAECGFAFBACGABABFGACFHFAFGACHGBACGBFGADBGFBEGCHGBFAGEFHFHGABAFCFGAGFBDAHAFBGFGABFGFHGAGFHGFCHGFBGHBHABACEAHGFBHDFAGAGABGFBHFBEACHFCGAHGEABGCHFHAHAGBHDBHAFGAGHGFHFBAFBFGBEGBAEGFGBAHAGF
BGABFGF,5
BGAFFBABAFBAGFHGFCBCEABHB,GDGHBGABGFDBGBGCFGBAGCAFGAHCFGABGBAGDCBHGFEAGDEGEGFDGHDFAGCAEFDAHBGBCAFAGBFGBCGABFEFADBHGBFCHBCFBAFBHAHGBCGBFGAFGDABCGAGFGEAFGAGFHFEAFBGFBGABAGFDABGFBFGFECAEHAGAGFHCFGBHAE
BGA-F-ABAF-AGF-FC,4
BGAFABAFAGFFC,BGAHFGFDFBAHBABADGDBGFEBFBFBAGBGFBEBDGBFAGDGHGCBGFEBFGFABEFCHABEGDBGEHAGDFHBGFCAFAFEBFEHFBAFAGFBGFEGFBAGAEGHEAGBGABGABDFBGBFBABDFGFDGBFGBGHBGBFACFEAFBEFBFBGFHFGHDFAGBFAGEGBHGEBFBFGDGBGHA
BGAF-B-FAGF,0
BGAFBFAGF,BFCBGBGBGEAHBFBHGFGCHAHGABCAGBGBAHGEDFBDHBFGCHGFHEFBCDGBFBADEGHFHGFHGBGBEDAHGBDABFHAHAGFGFGCHGFHAEAGFGEDEHCGDAFAFGFAFGFHBHGCHDHFBABFBHBFCGBFGECABHFGBGFEFHECBCBEAFHEAFGHGFGHFABFHGAHBHDCDAC
BGA-BF-GF,7
BGABFGF,BHBFABGAECGFAFBACGABABFGACFHFAFGACHGBACGBFGADBGFBEGCHGBFAGEFHFHGABAFCFGAGFBDAHAFBGFGABFGFHGAGFHGFCHGFBGHBHABACEAHGFBHDFAGAGABGFBHFBEACHFCGAHGEABGCHFHAHAGBHDBHAFGAGHGFHFBAFBFGBEGBAEGFGBAHAGF
BGABFGF,5
BGABFGF,AGFHFGBHFAHGBEGAEAGFAFGEFAEHGBAGFBGCHDAHFEHGBGAFHGFHAGEFGBAGABFCGEAFGABAHGFGFABGCBGADHGFHGECHGFBGFHABEABAGAEFAGCGFBFAGFAFGHBABHAFAEBABHCEAFGCGFHCAFDGBCFGEADCEGFAGBHAGFGBABGFGFGDFAGAG
BGABFGF,44
GGHBGDGGCFBAFBAHBCAFFABGFHBABAHBGFGAGAFF,GDGHBGABGFDBGBGCFGBAGCAFGAHCFGABGBAGDCBHGFEAGDEGEGFDGHDFAGCAEFDAHBGBCAFAGBFGBCGABFEFADBHGBFCHBCFBAFBHAHGBCGBFGAFGDABCGAGFGEAFGAGFHFEAFBGFBGABAGFDABGFBFGFECAEHAGAGFHCFGBHAE
GGHBG-CFBA-H-C-F-ABG-A-F-AG,0
GGHBGCFBAHCFABGAFAG,BGAHFGFDFBAHBABADGDBGFEBFBFBAGBGFBEBDGBFAGDGHGCBGFEBFGFABEFCHABEGDBGEHAGDFHBGFCAFAFEBFEHFBAFAGFBGFEGFBAGAEGHEAGBGABGABDFBGBFBABDFGFDGBFGBGHBGBFACFEAFBEFBFBGFHFGHDFAGBFAGEGBHGEBFBFGDGBGHA
GGHBG-F-A-CFAB,135
GGHBGFACFAB,BFCBGBGBGEAHBFBHGFGCHAHGABCAGBGBAHGEDFBDHBFGCHGFHEFBCDGBFBADEGHFHGFHGBGBEDAHGBDABFHAHAGFGFGCHGFHAEAGFGEDEHCGDAFAFGFAFGFHBHGCHDHFBABFBHBFCGBFGECABHFGBGFEFHECBCBEAFHEAFGHGFGHFABFHGAHBHDCDAC
GGHBGFA-FAB,16
GGHBGFAFAB,BHBFABGAECGFAFBACGABABFGACFHFAFGACHGBACGBFGADBGFBEGCHGBFAGEFHFHGABAFCFGAGFBDAHAFBGFGABFGFHGAGFHGFCHGFBGHBHABACEAHGFBHDFAGAGABGFBHFBEACHFCGAHGEABGCHFHAHAGBHDBHAFGAGHGFHFBAFBFGBEGBAEGFGBAHAGF
HB-FAFAB,1
HBFAFAB,AGFHFGBHFAHGBEGAEAGFAFGEFAEHGBAGFBGCHDAHFEHGBGAFHGFHAGEFGBAGABFCGEAFGABAHGFGFABGCBGADHGFHGECHGFBGFHABEABAGAEFAGCGFBFAGFAFGHBABHAFAEBABHCEAFGCGFHCAFDGBCFGEADCEGFAGBHAGFGBABGFGFGDFAGAG
HBFAFA,98
HBFAFA,AFGHGHEHFAGEFGDFEFGFEFGFHADGCFBEHBGEFDAHEHGFGFBGFGCFHAFAFBABFBFBECFGBFHGEDCAEFEFHBAHAFABAFEFHGFDBCFBFCFEFEADAHFEGBFGEAFACGADAHECBAFGBCABFDFEAEBAGAFAHBABEHFBABFAHBHGFGCABHBFHFGBFAGFDGCAFDFAFBF
H-FAFA,7
