BFBCABEABCBACBCBCFFACBCFBAFCBCCFBCFFAC,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
BFBCABEABC-ACBCB-FFAC-CFBAFCB-BC,2
BFBCABEABCACBCBFFACCFBAFCBBC,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
BFBCABEABCA-BC-F-C-BA-CB-C,3
FGBCBCBEBCFCFCCBBBCBCFEACBBCECFABFABCEACFBC,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
F-BCBCB-CFCFC-E-CBBC-C-A,3
FBCBCBCFCFCECBBCCA,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
FBCBCB-FCECBBCC,0
FBCBCBFCECBBCC,CBECEFAGBCBGCBECBFBCBCECFBFCFCACBFCFCBFBABFBCBCFEAFCBABCECBFBFABGBCFABFCBCBEFBFABCFBCACFCFBAFBABAFB
FBCBC-FC-CBBCC,17
CBCFGBCGBFBCCFCFCCBCFCBFBCFCBBCFBABCFBFCCBACFCCFBAFBBAF,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
CBCF-BC-BFBC-FCFC-CF-BFBC-C-C-B-B-FBFC-B-CFCCF-AF-B-F,14
CBCFBCBFBCFCFCCFBFBCCCBBFBFCBCFCCFAFBF,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
BCFBC-CF-FCC-B-BCC-B-CBCFC-FAF,3
BCFBCCFFCCBBCCBCBCFCFAF,CBECEFAGBCBGCBECBFBCBCECFBFCFCACBFCFCBFBABFBCBCFEAFCBABCECBFBFABGBCFABFCBCBEFBFABCFBCACFCFBAFBABAFB
BC-BCCFFCC-CCB-B-F-AF,8
BCBCCFFCCCCBBFAF,CFBCFBGBCGBAFBCGCBFCFCFBCACBCFCBFBECFCEBCBAFACBCBCBFCBACBCFBCFCACFBADCFCBFCFGCBFCBACFBFBFCFBFCBFCACFAFBCFACBAF
CBCCFFCCCCB-F,0
CBCFGBCGBFBCCFCFCCBCFCBFBCFCBBCFBABCFBFCCBACFCCFBAFBBAF,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
CBCF-BC-BFBC-FCFC-CF-BFBC-C-C-B-B-FBFC-B-CFCCF-AF-B-F,14
CBCFBCBFBCFCFCCFBFBCCCBBFBFCBCFCCFAFBF,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
BCFBC-CF-FCC-B-BCC-B-CBCFC-FAF,3
BCFBCCFFCCBBCCBCBCFCFAF,CBECEFAGBCBGCBECBFBCBCECFBFCFCACBFCFCBFBABFBCBCFEAFCBABCECBFBFABGBCFABFCBCBEFBFABCFBCACFCFBAFBABAFB
BC-BCCFFCC-CCB-B-F-AF,8
BCBCCFFCCCCBBFAF,CFBCFBGBCGBAFBCGCBFCFCFBCACBCFCBFBECFCEBCBAFACBCBCBFCBACBCFBCFCACFBADCFCBFCFGCBFCBACFBFBFCFBFCBFCACFAFBCFACBAF
CBCCFFCCCCB-F,0
CBCCFFCCCCBF,GFECFCFCGCBFBCFCBFBFEBFBCBCDCBFCBFCABCBCFAEACBCFBECACFABCFBCABFCBCBCBFCBCFBFCEBAFGFBFCBCBCFECE
CBCCF-CC-F,63
CFCFGCBFBCFCBFBEBCBFCBCBCBCACBCFBCACFACFCBFCBFCBCFBFFFBFCBCCF,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
BFBC-BE-CB-CACBC-BC-CFACF-BFCBFCBC-CCF,2
BFBCBECBCACBCBCCFACFBFCBFCBCCCF,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
BFBC-ACB-BC-F-CFBFCBF-B-F,3
BFBCACBBCFCFBFCBFBF,CBECEFAGBCBGCBECBFBCBCECFBFCFCACBFCFCBFBABFBCBCFEAFCBABCECBFBFABGBCFABFCBCBEFBFABCFBCACFCFBAFBABAFB
BFBC-C-CFBFC-FBF,16
BFBCCCFBFCFBF,CFBCFBGBCGBAFBCGCBFCFCFBCACBCFCBFBECFCEBCBAFACBCBCBFCBACBCFBCFCACFBADCFCBFCFGCBFCBACFBFBFCFBFCBFCACFAFBCFACBAF
BFBCCCFBF-FBF,10
