
D,A,D,F,A,F,D,F,B,F,B,F,H,F,B,D,H,B,C,B,D,F,A,H,F,B,D,F,F,A,D,B,H
D,A,D,F,A,F,D,F,B,F,B,F,H,F,B,H,C,D,F,H,F,B,D,B,H
F,B,F,H,F,F,A,B,H,D,B,D,F,H,B,D,D,F,B,D,D,B,C,B,D,D,F,A,B,C,D,D,C,B,A,D,F,B
F,B,F,H,F,H,D,D,H,B,D,B,C,D
F,B,F,H,D,D,B,B,C,D
F,B,H,D,F,F,B,A,F,D,F,F,D,F,B,B,C,D,A,B,D,H,D,E,A,C,B,A,B,D,F,F,B,H,B,F,B
F,B,H,D,F,B,A,D,F,D,F,D,B,A,B,A,B,F,B,B,F,B
F,B,H,D,F,B,A,F,D,F,B,F,B
F,B,H,F,F,D,F,B,B
D,H,C,D,B,C,H,D,D,B,D,F,B,D,H,F,B,C,D,C,F,E,B,D,B,H,D,A,F,D,B,D,A,B
D,H,C,D,D,B,F,D,H,F,B,D,C,F,E,D,A,B
D,H,C,D,B,F,F,B,D,F,E,A
D,H,C,D,B,F,F,B,D
D,H,C,D,F,B
F,D,F,B,D,H,D,F,D,F,B,B,D,B,D,H,D,H,F,B,F,D,B,C,H,D,D,B,A,B,A,B,F,D,H
F,D,F,B,H,F,D,F,B,H,D,H,B,C,D,B,A,B,A
F,D,F,B,F,D,F,B,H,D,B,A,B
F,D,F,B,F,D,F,A,B
F,D,F,B,D,F,A,B
F,D,F,B,D,F,B
