1,JEAJDKCHJFGAKCGAGIKDKBJKIABAJDKCEGJDKJCKCKFKBFEKEKIKGAIDKBCKBDAIAHFJKBKJCAIFKDHIAKCJHKIFDFKFJBCBKBDKDHKBIDHCBAKHAGKDKEICGIKEKJKHGDGJCGAFBKAIGFCAFIGCJGCGKIEKHKHKIDBCGIBAKJIKHIJEKEKACKICDIAIFGKDKEIFHDCIKJEKEIBAKIDIBDEKDKBAHCAFKGIEKCKCBAKIBDIEKHCFKJCHIGFAC
2,BKCBFKDEKIKGCAKDKGABECDKEIAJDKCHBDBJICBKBDIKDGIAGICKGAEJAEIKJGKHBJDKDCKEGDJDECGDFGCIKJKGBCKDKCECAKBFIKAKDCDHKDKHIJIJFDFAIKIHKIKEAFIFHKBIADKAIJKFACHKIKJAKBAIACIHABFDKIJCJIKFIDIHAIEJKAKBGDBABKEGEDHIECDGDBAJGBHEIEIGDHKGCKIKHEKIAKIGICHKADIGJEHFIKFKBJEGBCKAJIKIABKFJKIKCKAIDJGIEI
3,GBKAKIAGHAKJAFBEFJKEFCBJKIHGKICJKDGCKAFIDKIDFIKHIDFKAKGIEDHECGKIKDGFKHKIAHJKEFJKGDCEIKHAJGDAFHFAHKCIEBIHKEIBIHEKCFEBECBEACEHCDIKAKICBDIGFKBKGJDKAKEICHKIEHADJKFGKFKFBKAEKGEBEGKCAEHKFIKFKBKIKAEHFAKBHECAGCDCDKBEDEABEGBKEIEHAKJBKEJKFKFKCIKHIFEBADBABAKBDAGA
4,GFHKEGKAHKACKFKDGAJCBJGEKEKGJKBACKAJDKCIFBAFEHFBKIKIBKBEGAEJHFKIEIJBAIDEDIDKIBEJFIJHFIKDCKEBICIKAIKHKFKHFGBKHKHIBJBEJCJEJBDBCKCFAGEJDEIKDKJDKCFJEAIKBHKIFHJKBFEHJFGFICEBCHDHADCHJEJIGFIAJCJKDKEGIAIGFHKEKDAIJKCKIADIAKHGKIAFKFBIAGDCHKDIKABAIBKEIKICIFIKFCKAGIKAKIHBAGADKEGKHCICKADJEAKDIHCFIKBIDIHKD
5,CIKDKHBKJGHFKFBEKFKJKGIBACKJEAKCKIKFAJDKCEIEJBCGIHEDKBKBIJGFIECHAJIKAJGIGJKBKEIEGKIGECIEKIKEGDCGIEBJEIEKFEIJEKADGKJIKBECBDGIDFIFIJHJKAFAIEIFKCEDHCEIKBKCICKFDIKFBJCAIEBIKGHBCKICECJFKICEDJGAKIJKDFKFICIJAEKCKIKFBKAKDHEKFDCIKABCDICDIAGEDBKHAJHKJBKIAKJIKHIEKCHBKJDKEKCAKE
